year,user,prog_len,region,ds,ds_type,cbse_epc,rank_pct,ext,research,n_app,n_inv,n_int,n_rank,matched,intl,cbse_note,conv
2020,lb ruski,4.0,Military,,,63.0,15.0,3.0,light,,,,,True,False,old2:70,
2020,BYU4you,6.0,West,Loma Linda,private,69.0,4.0,5.0,light,26.0,15.0,11.0,11.0,True,False,old2:74,0.5769230769230769
2020,GimmeTheScalpel,,MW,Penn,private,76.0,,6.0,heavy,18.0,14.0,12.0,12.0,True,False,old2:80,0.7777777777777778
2020,PatsMan1,6.0,NE,Columbia,private,89.0,6.0,5.0,light,18.0,17.0,12.0,,True,False,old2:96,0.9444444444444444
2020,krispybiscuits2017,,MW,VCU,public,61.0,47.0,2.0,none,28.0,5.0,5.0,5.0,True,False,old2:68,0.17857142857142858
2020,Mr.Scalpel,,SE,UCLA,public,82.0,,7.0,moderate,35.0,20.0,13.0,13.0,True,False,old2:86,0.5714285714285714
2020,MC34,6.0,NE,Buffalo,public,80.0,20.0,3.0,none,22.0,18.0,8.0,5.0,True,False,old2:84,0.8181818181818182
2020,C0LA,6.0,NE,UConn,public,78.0,,5.0,moderate,18.0,14.0,11.0,11.0,True,False,old2:82,0.7777777777777778
2020,Arabidopsis,6.0,NE,Harvard,private,91.0,,7.0,heavy,12.0,11.0,9.0,9.0,True,False,old2:98,0.9166666666666666
2020,Orthofanathgnic,4.0,,,,62.0,,4.0,moderate,39.0,17.0,14.0,14.0,True,False,old2:69,0.4358974358974359
2020,White_Sponge_Nevus,,SE,UConn,public,73.0,,5.0,light,18.0,13.0,12.0,12.0,True,False,old2:77,0.7222222222222222
2020,kobe4evr,6.0,NE,,,63.0,21.0,4.0,none,38.0,20.0,17.0,15.0,True,False,old2:70,0.5263157894736842
2020,maxFax2020,4.0,SE,SE,,51.0,29.0,4.0,moderate,22.0,9.0,8.0,8.0,True,False,old2:61,0.4090909090909091
2020,RoquanSmith03,,,,,55.0,,,,,,,,False,False,old2:64,
2020,DS2020,4.0,,,,55.0,,,,,,,,True,False,old2:64,
2020,C.elegans,6.0,West,NYU,private,85.0,5.0,7.0,moderate,20.0,18.0,15.0,15.0,True,False,old2:90,0.9
2020,tertbuo,,SE,Columbia,private,84.0,,4.0,moderate,29.0,23.0,16.0,16.0,True,False,old2:89,0.7931034482758621
2020,thethirdmolar,,West,UCLA,public,73.0,,6.0,light,24.0,19.0,14.0,14.0,True,False,old2:77,0.7916666666666666
2020,SaltyCFTR,6.0,SE,,,76.0,,2.0,heavy,26.0,18.0,12.0,12.0,True,False,old2:80,0.6923076923076923
2020,why tho,6.0,,,,70.0,10.0,,light,32.0,17.0,14.0,14.0,True,False,old2:75,0.53125
2020,MBOMFS,6.0,MW,Midwest,,76.0,1.0,,light,11.0,9.0,8.0,8.0,True,False,old2:80,0.8181818181818182
2021,NaCl is Salt,6.0,,,public,65.0,10.0,3.0,none,33.0,11.0,11.0,11.0,True,False,old2:71,0.3333333333333333
2021,Toothout,6.0,,,public,68.0,50.0,4.0,light,32.0,12.0,11.0,11.0,True,False,3dig:209,0.375
2021,CornFedBeef21,6.0,MW,,public,68.0,2.0,1.0,moderate,28.0,20.0,18.0,18.0,True,False,3dig:209,0.7142857142857143
2021,klownzo,6.0,MW,,private,79.0,,2.0,none,38.0,26.0,24.0,24.0,True,False,3dig:233,0.6842105263157895
2021,noodles9,4.0,MW,,,,5.0,1.0,light,36.0,2.0,2.0,2.0,True,False,no score,0.05555555555555555
2021,desertrat12,4.0,West,,,74.0,10.0,3.0,none,31.0,10.0,10.0,10.0,True,False,3dig:221,0.3225806451612903
2021,Waxingwizard,6.0,South,,public,70.0,20.0,1.0,none,32.0,10.0,9.0,9.0,True,False,old2:75,0.3125
2021,CubsFan44,4.0,,,public,62.0,20.0,2.0,none,32.0,3.0,3.0,3.0,True,False,3dig:197,0.09375
2021,Stevie95,6.0,NE,,public,64.0,15.0,1.0,none,35.0,5.0,5.0,5.0,True,False,3dig:200,0.14285714285714285
2021,ToothHurtyPM,4.0,NE,,private,67.0,3.0,4.0,light,32.0,8.0,8.0,8.0,True,False,3dig:207,0.25
2021,Downfracturist,6.0,South,,public,72.0,10.0,2.0,moderate,21.0,16.0,13.0,13.0,True,False,3dig:217,0.7619047619047619
2021,Cito,6.0,South,,public,70.0,10.0,2.0,none,29.0,10.0,9.0,9.0,True,False,3dig:213,0.3448275862068966
2021,DDSER1,4.0,,Canadian,intl,75.0,10.0,0.0,light,,5.0,5.0,5.0,True,True,3dig:224,
